"	,	,	,	,Quantidades,	,	,  	,	,	,Tamanhos,	,	,  	,	,Tempo (ms),	,	,	,	"
Tela, Nome do Arquivo,img,css,js,html,outros,total,img,css,js,html,outros,total,Blocking,Waiting,Receiving,Total,Page load, On Content Load
Home,D:\ViewItGUIRepo\GUIViewIt\harRepository\accounts.google.com+2017-02-22+09-03-32.har,6,0,0,1,2,9,660,0,0,2790,31724,35174,3617,1028,192,4837,888,200
Home,D:\ViewItGUIRepo\GUIViewIt\harRepository\www.blazedemo.com+2017-02-22+14-56-44.har,0,2,4,1,1,8,0,130226,110953,7403,98,248680,840,55958,90969,147767,58220,58200
Home,D:\ViewItGUIRepo\GUIViewIt\harRepository\www.blazedemo.com+2017-02-22+15-08-17.har,0,2,3,0,0,5,0,83413,114444,0,0,197857,101,1493,39829,41423,-1,-1
Home,D:\ViewItGUIRepo\GUIViewIt\harRepository\www.blazedemo.com+2017-02-22+20-16-48.har,0,2,5,0,0,7,0,130226,173891,0,0,304117,997,1405,4195,6597,2932,2900
Home,D:\ViewItGUIRepo\GUIViewIt\harRepository\www.blazedemo.com+2017-02-22+20-16-58.har,0,0,1,1,0,2,0,0,57,10040,0,10097,1,451,1021,1473,1322,1287
Home,D:\ViewItGUIRepo\GUIViewIt\harRepository\www.blazedemo.com+2017-02-22+20-48-47.har,0,2,5,0,0,7,0,130226,173891,0,0,304117,1711,1430,2721,5862,2584,2555
Home,D:\ViewItGUIRepo\GUIViewIt\harRepository\www.blazedemo.com+2017-02-22+20-53-39.har,0,2,5,0,0,7,0,130226,173891,0,0,304117,971,2576,3882,7429,2493,2463
Home,D:\ViewItGUIRepo\GUIViewIt\harRepository\www.blazedemo.com+2017-02-22+20-53-48.har,0,0,1,1,0,2,0,0,57,10040,0,10097,1,543,598,1142,928,893
Home,D:\ViewItGUIRepo\GUIViewIt\harRepository\www.blazedemo.com+2017-02-22+20-58-08.har,0,2,5,0,0,7,0,130226,173891,0,0,304117,2314,1715,4689,8718,3537,3503
Home,D:\ViewItGUIRepo\GUIViewIt\harRepository\www.blazedemo.com+2017-02-22+20-58-48.har,0,0,1,1,0,2,0,0,57,10040,0,10097,2,455,537,994,846,809
Home,D:\ViewItGUIRepo\GUIViewIt\harRepository\www.blazedemo.com+2017-02-22+21-26-17.har,0,2,5,0,0,7,0,130226,173891,0,0,304117,1109,1414,2967,5490,2436,2398
Home,D:\ViewItGUIRepo\GUIViewIt\harRepository\www.blazedemo.com+2017-02-22+21-39-17.har,0,2,5,0,0,7,0,130226,173891,0,0,304117,847,2868,2645,6360,1568,1450
